title	major_group	minor_group	broad_group	detailed_occupation
Radio Mechanics (49-2021.01)	Installation, Maintenance, and Repair Occupations (49-0000)	Electrical and Electronic Equipment Mechanics, Installers, and Repairers (49-2000)	Radio and Telecommunications Equipment Installers and Repairers (49-2020)	Radio, Cellular, and Tower Equipment Installers and Repairs (49-2021)
Telecommunications Equipment Installers and Repairers, Except Line Installers (49-2022.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Electrical and Electronic Equipment Mechanics, Installers, and Repairers (49-2000)	Radio and Telecommunications Equipment Installers and Repairers (49-2020)	Telecommunications Equipment Installers and Repairers, Except Line Installers (49-2022)
Avionics Technicians (49-2091.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Electrical and Electronic Equipment Mechanics, Installers, and Repairers (49-2000)	Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers (49-2090)	Avionics Technicians (49-2091)
Electric Motor, Power Tool, and Related Repairers (49-2092.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Electrical and Electronic Equipment Mechanics, Installers, and Repairers (49-2000)	Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers (49-2090)	Electric Motor, Power Tool, and Related Repairers (49-2092)
Electrical and Electronics Installers and Repairers, Transportation Equipment (49-2093.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Electrical and Electronic Equipment Mechanics, Installers, and Repairers (49-2000)	Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers (49-2090)	Electrical and Electronics Installers and Repairers, Transportation Equipment (49-2093)
Electrical and Electronics Repairers, Commercial and Industrial Equipment (49-2094.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Electrical and Electronic Equipment Mechanics, Installers, and Repairers (49-2000)	Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers (49-2090)	Electrical and Electronics Repairers, Commercial and Industrial Equipment (49-2094)
Electrical and Electronics Repairers, Powerhouse, Substation, and Relay (49-2095.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Electrical and Electronic Equipment Mechanics, Installers, and Repairers (49-2000)	Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers (49-2090)	Electrical and Electronics Repairers, Powerhouse, Substation, and Relay (49-2095)
Electronic Equipment Installers and Repairers, Motor Vehicles (49-2096.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Electrical and Electronic Equipment Mechanics, Installers, and Repairers (49-2000)	Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers (49-2090)	Electronic Equipment Installers and Repairers, Motor Vehicles (49-2096)
Electronic Home Entertainment Equipment Installers and Repairers (49-2097.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Electrical and Electronic Equipment Mechanics, Installers, and Repairers (49-2000)	Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers (49-2090)	Electronic Home Entertainment Equipment Installers and Repairers (49-2097)
Security and Fire Alarm Systems Installers (49-2098.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Electrical and Electronic Equipment Mechanics, Installers, and Repairers (49-2000)	Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers (49-2090)	Security and Fire Alarm Systems Installers (49-2098)
Aircraft Mechanics and Service Technicians (49-3011.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Vehicle and Mobile Equipment Mechanics, Installers, and Repairers (49-3000)	Aircraft Mechanics and Service Technicians (49-3010)	Aircraft Mechanics and Service Technicians (49-3011)
Automotive Body and Related Repairers (49-3021.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Vehicle and Mobile Equipment Mechanics, Installers, and Repairers (49-3000)	Automotive Technicians and Repairers (49-3020)	Automotive Body and Related Repairers (49-3021)
Automotive Glass Installers and Repairers (49-3022.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Vehicle and Mobile Equipment Mechanics, Installers, and Repairers (49-3000)	Automotive Technicians and Repairers (49-3020)	Automotive Glass Installers and Repairers (49-3022)
Automotive Service Technicians and Mechanics (49-3023.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Vehicle and Mobile Equipment Mechanics, Installers, and Repairers (49-3000)	Automotive Technicians and Repairers (49-3020)	Automotive Service Technicians and Mechanics (49-3023)
Automotive Master Mechanics (49-3023.01)	Installation, Maintenance, and Repair Occupations (49-0000)	Vehicle and Mobile Equipment Mechanics, Installers, and Repairers (49-3000)	Automotive Technicians and Repairers (49-3020)	Automotive Service Technicians and Mechanics (49-3023)
Automotive Specialty Technicians (49-3023.02)	Installation, Maintenance, and Repair Occupations (49-0000)	Vehicle and Mobile Equipment Mechanics, Installers, and Repairers (49-3000)	Automotive Technicians and Repairers (49-3020)	Automotive Service Technicians and Mechanics (49-3023)
Bus and Truck Mechanics and Diesel Engine Specialists (49-3031.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Vehicle and Mobile Equipment Mechanics, Installers, and Repairers (49-3000)	Bus and Truck Mechanics and Diesel Engine Specialists (49-3030)	Bus and Truck Mechanics and Diesel Engine Specialists (49-3031)
Farm Equipment Mechanics and Service Technicians (49-3041.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Vehicle and Mobile Equipment Mechanics, Installers, and Repairers (49-3000)	Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics (49-3040)	Farm Equipment Mechanics and Service Technicians (49-3041)
Mobile Heavy Equipment Mechanics, Except Engines (49-3042.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Vehicle and Mobile Equipment Mechanics, Installers, and Repairers (49-3000)	Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics (49-3040)	Mobile Heavy Equipment Mechanics, Except Engines (49-3042)
Rail Car Repairers (49-3043.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Vehicle and Mobile Equipment Mechanics, Installers, and Repairers (49-3000)	Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics (49-3040)	Rail Car Repairers (49-3043)
Motorboat Mechanics and Service Technicians (49-3051.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Vehicle and Mobile Equipment Mechanics, Installers, and Repairers (49-3000)	Small Engine Mechanics (49-3050)	Motorboat Mechanics and Service Technicians (49-3051)
Motorcycle Mechanics (49-3052.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Vehicle and Mobile Equipment Mechanics, Installers, and Repairers (49-3000)	Small Engine Mechanics (49-3050)	Motorcycle Mechanics (49-3052)
Outdoor Power Equipment and Other Small Engine Mechanics (49-3053.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Vehicle and Mobile Equipment Mechanics, Installers, and Repairers (49-3000)	Small Engine Mechanics (49-3050)	Outdoor Power Equipment and Other Small Engine Mechanics (49-3053)
Bicycle Repairers (49-3091.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Vehicle and Mobile Equipment Mechanics, Installers, and Repairers (49-3000)	Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers (49-3090)	Bicycle Repairers (49-3091)
Recreational Vehicle Service Technicians (49-3092.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Vehicle and Mobile Equipment Mechanics, Installers, and Repairers (49-3000)	Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers (49-3090)	Recreational Vehicle Service Technicians (49-3092)
Tire Repairers and Changers (49-3093.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Vehicle and Mobile Equipment Mechanics, Installers, and Repairers (49-3000)	Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers (49-3090)	Tire Repairers and Changers (49-3093)
Mechanical Door Repairers (49-9011.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Control and Valve Installers and Repairers (49-9010)	Mechanical Door Repairers (49-9011)
Control and Valve Installers and Repairers, Except Mechanical Door (49-9012.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Control and Valve Installers and Repairers (49-9010)	Control and Valve Installers and Repairers, Except Mechanical Door (49-9012)
Heating, Air Conditioning, and Refrigeration Mechanics and Installers (49-9021.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Heating, Air Conditioning, and Refrigeration Mechanics and Installers (49-9020)	Heating, Air Conditioning, and Refrigeration Mechanics and Installers (49-9021)
Heating and Air Conditioning Mechanics and Installers (49-9021.01)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Heating, Air Conditioning, and Refrigeration Mechanics and Installers (49-9020)	Heating, Air Conditioning, and Refrigeration Mechanics and Installers (49-9021)
Refrigeration Mechanics and Installers (49-9021.02)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Heating, Air Conditioning, and Refrigeration Mechanics and Installers (49-9020)	Heating, Air Conditioning, and Refrigeration Mechanics and Installers (49-9021)
Home Appliance Repairers (49-9031.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Home Appliance Repairers (49-9030)	Home Appliance Repairers (49-9031)
Industrial Machinery Mechanics (49-9041.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Industrial Machinery Installation, Repair, and Maintenance Workers (49-9040)	Industrial Machinery Mechanics (49-9041)
Maintenance Workers, Machinery (49-9043.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Industrial Machinery Installation, Repair, and Maintenance Workers (49-9040)	Maintenance Workers, Machinery (49-9043)
Millwrights (49-9044.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Industrial Machinery Installation, Repair, and Maintenance Workers (49-9040)	Millwrights (49-9044)
Refractory Materials Repairers, Except Brickmasons (49-9045.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Industrial Machinery Installation, Repair, and Maintenance Workers (49-9040)	Refractory Materials Repairers, Except Brickmasons (49-9045)
Electrical Power-Line Installers and Repairers (49-9051.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Line Installers and Repairers (49-9050)	Electrical Power-Line Installers and Repairers (49-9051)
Telecommunications Line Installers and Repairers (49-9052.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Line Installers and Repairers (49-9050)	Telecommunications Line Installers and Repairers (49-9052)
Camera and Photographic Equipment Repairers (49-9061.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Precision Instrument and Equipment Repairers (49-9060)	Camera and Photographic Equipment Repairers (49-9061)
Medical Equipment Repairers (49-9062.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Precision Instrument and Equipment Repairers (49-9060)	Medical Equipment Repairers (49-9062)
Musical Instrument Repairers and Tuners (49-9063.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Precision Instrument and Equipment Repairers (49-9060)	Musical Instrument Repairers and Tuners (49-9063)
Watch Repairers (49-9064.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Precision Instrument and Equipment Repairers (49-9060)	Watch Repairers (49-9064)
Precision Instrument and Equipment Repairers, All Other (49-9069.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Precision Instrument and Equipment Repairers (49-9060)	Precision Instrument and Equipment Repairers, All Other (49-9069)
Maintenance and Repair Workers, General (49-9071.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Maintenance and Repair Workers, General (49-9070)	Maintenance and Repair Workers, General (49-9071)
Wind Turbine Service Technicians (49-9081.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Wind Turbine Service Technicians (49-9080)	Wind Turbine Service Technicians (49-9081)
Coin, Vending, and Amusement Machine Servicers and Repairers (49-9091.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Miscellaneous Installation, Maintenance, and Repair Workers (49-9090)	Coin, Vending, and Amusement Machine Servicers and Repairers (49-9091)
Commercial Divers (49-9092.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Miscellaneous Installation, Maintenance, and Repair Workers (49-9090)	Commercial Divers (49-9092)
Fabric Menders, Except Garment (49-9093.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Miscellaneous Installation, Maintenance, and Repair Workers (49-9090)	Fabric Menders, Except Garment (49-9093)
Locksmiths and Safe Repairers (49-9094.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Miscellaneous Installation, Maintenance, and Repair Workers (49-9090)	Locksmiths and Safe Repairers (49-9094)
Manufactured Building and Mobile Home Installers (49-9095.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Miscellaneous Installation, Maintenance, and Repair Workers (49-9090)	Manufactured Building and Mobile Home Installers (49-9095)
Riggers (49-9096.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Miscellaneous Installation, Maintenance, and Repair Workers (49-9090)	Riggers (49-9096)
Signal and Track Switch Repairers (49-9097.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Miscellaneous Installation, Maintenance, and Repair Workers (49-9090)	Signal and Track Switch Repairers (49-9097)
Helpers--Installation, Maintenance, and Repair Workers (49-9098.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Miscellaneous Installation, Maintenance, and Repair Workers (49-9090)	Helpers--Installation, Maintenance, and Repair Workers (49-9098)
Installation, Maintenance, and Repair Workers, All Other (49-9099.00)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Miscellaneous Installation, Maintenance, and Repair Workers (49-9090)	Installation, Maintenance, and Repair Workers, All Other (49-9099)
Geothermal Technicians (49-9099.01)	Installation, Maintenance, and Repair Occupations (49-0000)	Other Installation, Maintenance, and Repair Occupations (49-9000)	Miscellaneous Installation, Maintenance, and Repair Workers (49-9090)	Installation, Maintenance, and Repair Workers, All Other (49-9099)
First-Line Supervisors of Production and Operating Workers (51-1011.00)	Production Occupations (51-0000)	Supervisors of Production Workers (51-1000)	First-Line Supervisors of Production and Operating Workers (51-1010)	First-Line Supervisors of Production and Operating Workers (51-1011)
Aircraft Structure, Surfaces, Rigging, and Systems Assemblers (51-2011.00)	Production Occupations (51-0000)	Assemblers and Fabricators (51-2000)	Aircraft Structure, Surfaces, Rigging, and Systems Assemblers (51-2010)	Aircraft Structure, Surfaces, Rigging, and Systems Assemblers (51-2011)
Coil Winders, Tapers, and Finishers (51-2021.00)	Production Occupations (51-0000)	Assemblers and Fabricators (51-2000)	Electrical, Electronics, and Electromechanical Assemblers (51-2020)	Coil Winders, Tapers, and Finishers (51-2021)
Electrical and Electronic Equipment Assemblers (51-2022.00)	Production Occupations (51-0000)	Assemblers and Fabricators (51-2000)	Electrical, Electronics, and Electromechanical Assemblers (51-2020)	Electrical and Electronic Equipment Assemblers (51-2022)
Electromechanical Equipment Assemblers (51-2023.00)	Production Occupations (51-0000)	Assemblers and Fabricators (51-2000)	Electrical, Electronics, and Electromechanical Assemblers (51-2020)	Electromechanical Equipment Assemblers (51-2023)
Engine and Other Machine Assemblers (51-2031.00)	Production Occupations (51-0000)	Assemblers and Fabricators (51-2000)	Engine and Other Machine Assemblers (51-2030)	Engine and Other Machine Assemblers (51-2031)
Structural Metal Fabricators and Fitters (51-2041.00)	Production Occupations (51-0000)	Assemblers and Fabricators (51-2000)	Structural Metal Fabricators and Fitters (51-2040)	Structural Metal Fabricators and Fitters (51-2041)
Fiberglass Laminators and Fabricators (51-2091.00)	Production Occupations (51-0000)	Assemblers and Fabricators (51-2000)	Miscellaneous Assemblers and Fabricators (51-2090)	Fiberglass Laminators and Fabricators (51-2091)
Team Assemblers (51-2092.00)	Production Occupations (51-0000)	Assemblers and Fabricators (51-2000)	Miscellaneous Assemblers and Fabricators (51-2090)	Team Assemblers (51-2092)
Timing Device Assemblers and Adjusters (51-2093.00)	Production Occupations (51-0000)	Assemblers and Fabricators (51-2000)	Miscellaneous Assemblers and Fabricators (51-2090)	Timing Device Assemblers and Adjusters (51-2093)
Assemblers and Fabricators, All Other (51-2099.00)	Production Occupations (51-0000)	Assemblers and Fabricators (51-2000)	Miscellaneous Assemblers and Fabricators (51-2090)	Assemblers and Fabricators, All Other (51-2099)
Bakers (51-3011.00)	Production Occupations (51-0000)	Food Processing Workers (51-3000)	Bakers (51-3010)	Bakers (51-3011)
Butchers and Meat Cutters (51-3021.00)	Production Occupations (51-0000)	Food Processing Workers (51-3000)	Butchers and Other Meat, Poultry, and Fish Processing Workers (51-3020)	Butchers and Meat Cutters (51-3021)
Meat, Poultry, and Fish Cutters and Trimmers (51-3022.00)	Production Occupations (51-0000)	Food Processing Workers (51-3000)	Butchers and Other Meat, Poultry, and Fish Processing Workers (51-3020)	Meat, Poultry, and Fish Cutters and Trimmers (51-3022)
Slaughterers and Meat Packers (51-3023.00)	Production Occupations (51-0000)	Food Processing Workers (51-3000)	Butchers and Other Meat, Poultry, and Fish Processing Workers (51-3020)	Slaughterers and Meat Packers (51-3023)
Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders (51-3091.00)	Production Occupations (51-0000)	Food Processing Workers (51-3000)	Miscellaneous Food Processing Workers (51-3090)	Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders (51-3091)
Food Batchmakers (51-3092.00)	Production Occupations (51-0000)	Food Processing Workers (51-3000)	Miscellaneous Food Processing Workers (51-3090)	Food Batchmakers (51-3092)
Food Cooking Machine Operators and Tenders (51-3093.00)	Production Occupations (51-0000)	Food Processing Workers (51-3000)	Miscellaneous Food Processing Workers (51-3090)	Food Cooking Machine Operators and Tenders (51-3093)
Food Processing Workers, All Other (51-3099.00)	Production Occupations (51-0000)	Food Processing Workers (51-3000)	Miscellaneous Food Processing Workers (51-3090)	Food Processing Workers, All Other (51-3099)
Computer-Controlled Machine Tool Operators, Metal and Plastic (51-4011.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Computer Control Programmers and Operators (51-4010)	Computer-Controlled Machine Tool Operators, Metal and Plastic (51-4011)
Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic (51-4012.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Computer Control Programmers and Operators (51-4010)	Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic (51-4012)
Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic (51-4021.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Forming Machine Setters, Operators, and Tenders, Metal and Plastic (51-4020)	Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic (51-4021)
Forging Machine Setters, Operators, and Tenders, Metal and Plastic (51-4022.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Forming Machine Setters, Operators, and Tenders, Metal and Plastic (51-4020)	Forging Machine Setters, Operators, and Tenders, Metal and Plastic (51-4022)
Rolling Machine Setters, Operators, and Tenders, Metal and Plastic (51-4023.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Forming Machine Setters, Operators, and Tenders, Metal and Plastic (51-4020)	Rolling Machine Setters, Operators, and Tenders, Metal and Plastic (51-4023)
Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic (51-4031.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic (51-4030)	Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic (51-4031)
Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic (51-4032.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic (51-4030)	Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic (51-4032)
Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic (51-4033.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic (51-4030)	Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic (51-4033)
Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic (51-4034.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic (51-4030)	Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic (51-4034)
Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic (51-4035.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic (51-4030)	Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic (51-4035)
Machinists (51-4041.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Machinists (51-4040)	Machinists (51-4041)
Metal-Refining Furnace Operators and Tenders (51-4051.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Metal Furnace Operators, Tenders, Pourers, and Casters (51-4050)	Metal-Refining Furnace Operators and Tenders (51-4051)
Pourers and Casters, Metal (51-4052.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Metal Furnace Operators, Tenders, Pourers, and Casters (51-4050)	Pourers and Casters, Metal (51-4052)
Model Makers, Metal and Plastic (51-4061.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Model Makers and Patternmakers, Metal and Plastic (51-4060)	Model Makers, Metal and Plastic (51-4061)
Patternmakers, Metal and Plastic (51-4062.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Model Makers and Patternmakers, Metal and Plastic (51-4060)	Patternmakers, Metal and Plastic (51-4062)
Foundry Mold and Coremakers (51-4071.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic (51-4070)	Foundry Mold and Coremakers (51-4071)
Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic (51-4072.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic (51-4070)	Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic (51-4072)
Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic (51-4081.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic (51-4080)	Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic (51-4081)
Tool and Die Makers (51-4111.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Tool and Die Makers (51-4110)	Tool and Die Makers (51-4111)
Welders, Cutters, Solderers, and Brazers (51-4121.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Welding, Soldering, and Brazing Workers (51-4120)	Welders, Cutters, Solderers, and Brazers (51-4121)
Welders, Cutters, and Welder Fitters (51-4121.06)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Welding, Soldering, and Brazing Workers (51-4120)	Welders, Cutters, Solderers, and Brazers (51-4121)
Solderers and Brazers (51-4121.07)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Welding, Soldering, and Brazing Workers (51-4120)	Welders, Cutters, Solderers, and Brazers (51-4121)
Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders (51-4122.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Welding, Soldering, and Brazing Workers (51-4120)	Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders (51-4122)
Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic (51-4191.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Miscellaneous Metal Workers and Plastic Workers (51-4190)	Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic (51-4191)
Layout Workers, Metal and Plastic (51-4192.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Miscellaneous Metal Workers and Plastic Workers (51-4190)	Layout Workers, Metal and Plastic (51-4192)
Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic (51-4193.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Miscellaneous Metal Workers and Plastic Workers (51-4190)	Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic (51-4193)
Tool Grinders, Filers, and Sharpeners (51-4194.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Miscellaneous Metal Workers and Plastic Workers (51-4190)	Tool Grinders, Filers, and Sharpeners (51-4194)
Metal Workers and Plastic Workers, All Other (51-4199.00)	Production Occupations (51-0000)	Metal Workers and Plastic Workers (51-4000)	Miscellaneous Metal Workers and Plastic Workers (51-4190)	Metal Workers and Plastic Workers, All Other (51-4199)
Prepress Technicians and Workers (51-5111.00)	Production Occupations (51-0000)	Printing Workers (51-5100)	Printing Workers (51-5110)	Prepress Technicians and Workers (51-5111)
Printing Press Operators (51-5112.00)	Production Occupations (51-0000)	Printing Workers (51-5100)	Printing Workers (51-5110)	Printing Press Operators (51-5112)
Print Binding and Finishing Workers (51-5113.00)	Production Occupations (51-0000)	Printing Workers (51-5100)	Printing Workers (51-5110)	Print Binding and Finishing Workers (51-5113)
Laundry and Dry-Cleaning Workers (51-6011.00)	Production Occupations (51-0000)	Textile, Apparel, and Furnishings Workers (51-6000)	Laundry and Dry-Cleaning Workers (51-6010)	Laundry and Dry-Cleaning Workers (51-6011)
Pressers, Textile, Garment, and Related Materials (51-6021.00)	Production Occupations (51-0000)	Textile, Apparel, and Furnishings Workers (51-6000)	Pressers, Textile, Garment, and Related Materials (51-6020)	Pressers, Textile, Garment, and Related Materials (51-6021)
Sewing Machine Operators (51-6031.00)	Production Occupations (51-0000)	Textile, Apparel, and Furnishings Workers (51-6000)	Sewing Machine Operators (51-6030)	Sewing Machine Operators (51-6031)
Shoe and Leather Workers and Repairers (51-6041.00)	Production Occupations (51-0000)	Textile, Apparel, and Furnishings Workers (51-6000)	Shoe and Leather Workers (51-6040)	Shoe and Leather Workers and Repairers (51-6041)
Shoe Machine Operators and Tenders (51-6042.00)	Production Occupations (51-0000)	Textile, Apparel, and Furnishings Workers (51-6000)	Shoe and Leather Workers (51-6040)	Shoe Machine Operators and Tenders (51-6042)
Sewers, Hand (51-6051.00)	Production Occupations (51-0000)	Textile, Apparel, and Furnishings Workers (51-6000)	Tailors, Dressmakers, and Sewers (51-6050)	Sewers, Hand (51-6051)
